id,type,parm,desc,type|itemID|amount1
10010,1,10,达到[colorindex:colorIndex=2] 10 [colorindex:colorIndex=0]级可领取,2|2|600
10015,1,15,达到[colorindex:colorIndex=2] 15 [colorindex:colorIndex=0]级可领取,2|2|800
10020,1,20,达到[colorindex:colorIndex=2] 20 [colorindex:colorIndex=0]级可领取,2|2|1000
10025,1,25,达到[colorindex:colorIndex=2] 25 [colorindex:colorIndex=0]级可领取,2|2|1100
10030,1,30,达到[colorindex:colorIndex=2] 30 [colorindex:colorIndex=0]级可领取,2|2|1200
10035,1,35,达到[colorindex:colorIndex=2] 35 [colorindex:colorIndex=0]级可领取,2|2|1300
10040,1,40,达到[colorindex:colorIndex=2] 40 [colorindex:colorIndex=0]级可领取,2|2|1500
10045,1,45,达到[colorindex:colorIndex=2] 45 [colorindex:colorIndex=0]级可领取,2|2|2000
10050,1,50,达到[colorindex:colorIndex=2] 50 [colorindex:colorIndex=0]级可领取,2|2|2500
20010,2,10,购买人数达到[colorindex:colorIndex=2] 10 [colorindex:colorIndex=0]即可领,16|16|10000
20020,2,20,购买人数达到[colorindex:colorIndex=2] 20 [colorindex:colorIndex=0]即可领,14|120002|1
20050,2,50,购买人数达到[colorindex:colorIndex=2] 50 [colorindex:colorIndex=0]即可领,14|100003|1
20100,2,100,购买人数达到[colorindex:colorIndex=2] 100 [colorindex:colorIndex=0]即可领,14|790004|30
20200,2,200,购买人数达到[colorindex:colorIndex=2] 200 [colorindex:colorIndex=0]即可领,2|2|500
20300,2,300,购买人数达到[colorindex:colorIndex=2] 300 [colorindex:colorIndex=0]即可领,2|2|800
20500,2,500,购买人数达到[colorindex:colorIndex=2] 500 [colorindex:colorIndex=0]即可领,2|2|1200
21000,2,1000,购买人数达到[colorindex:colorIndex=2] 1000 [colorindex:colorIndex=0]即可领,2|2|2500
