id,ranking,title,comment,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4,type|itemID|amount5
1,1|1,联盟大赛每日奖励,排名达到第1名，可获得,14|900005|1,2|2|500,5|5|1500,25|25|20,
2,2|2,联盟大赛每日奖励,排名达到第2名，可获得,2|2|400,5|5|1400,25|25|18,,
3,3|3,联盟大赛每日奖励,排名达到第3名，可获得,2|2|350,5|5|1350,25|25|17,,
4,4|4,联盟大赛每日奖励,排名达到第4名，可获得,2|2|300,5|5|1300,25|25|16,,
5,5|5,联盟大赛每日奖励,排名达到第5名，可获得,2|2|280,5|5|1250,25|25|15,,
6,6|6,联盟大赛每日奖励,排名达到第6名，可获得,2|2|260,5|5|1200,25|25|14,,
7,7|7,联盟大赛每日奖励,排名达到第7名，可获得,2|2|240,5|5|1150,25|25|13,,
8,8|8,联盟大赛每日奖励,排名达到第8名，可获得,2|2|220,5|5|1100,25|25|12,,
9,9|9,联盟大赛每日奖励,排名达到第9名，可获得,2|2|200,5|5|1050,25|25|11,,
10,10|10,联盟大赛每日奖励,排名达到第10名，可获得,2|2|180,5|5|1000,25|25|10,,
11,11|20,联盟大赛每日奖励,排名达到11-20名，可获得,2|2|150,5|5|950,25|25|9,,
12,21|50,联盟大赛每日奖励,排名达到21-50名，可获得,2|2|140,5|5|900,25|25|9,,
13,51|100,联盟大赛每日奖励,排名达到51-100名，可获得,2|2|130,5|5|850,25|25|9,,
14,101|200,联盟大赛每日奖励,排名达到101-200名，可获得,2|2|120,5|5|800,25|25|8,,
15,201|300,联盟大赛每日奖励,排名达到201-300名，可获得,2|2|110,5|5|750,25|25|8,,
16,301|400,联盟大赛每日奖励,排名达到301-400名，可获得,2|2|100,5|5|700,25|25|7,,
17,401|500,联盟大赛每日奖励,排名达到401-500名，可获得,2|2|90,5|5|650,25|25|7,,
18,501|1000,联盟大赛每日奖励,排名达到501-1000名，可获得,2|2|80,5|5|600,25|25|6,,
19,1001|2000,联盟大赛每日奖励,排名达到1001-2000名，可获得,2|2|70,5|5|550,25|25|6,,
20,2001|5000,联盟大赛每日奖励,排名达到2001-5000名，可获得,2|2|60,5|5|500,25|25|5,,
21,5001|10000,联盟大赛每日奖励,排名达到5001-10000名，可获得,2|2|50,5|5|450,25|25|4,,
22,10000|0,联盟大赛每日奖励,排名10000名以下，可获得,2|2|40,5|5|400,25|25|3,,
