id,group,pious_require,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4
1,1,4800,14|21000355|480,14|350055|480,,
2,1,3200,14|21000355|320,14|350055|320,,
3,1,1600,14|21000355|160,14|350055|160,,
4,1,800,14|21000355|80,14|350055|80,,
5,1,400,14|21000355|40,14|350055|40,,
6,1,200,14|21000355|20,14|350055|20,,
7,1,100,14|21000355|10,14|350055|10,,
8,1,50,14|21000355|5,14|350055|5,,
9,2,4800,14|21000359|480,14|350059|480,,
10,2,3200,14|21000359|320,14|350059|320,,
11,2,1600,14|21000359|160,14|350059|160,,
12,2,800,14|21000359|80,14|350059|80,,
13,2,400,14|21000359|40,14|350059|40,,
14,2,200,14|21000359|20,14|350059|20,,
15,2,100,14|21000359|10,14|350059|10,,
16,2,50,14|21000359|5,14|350059|5,,
