id,free_random,golden_random
1,7|8|4|7|6|8|6|7|3|8|6|6|8|5|7|7|6|6|6|8|1|7|6|8|8|2|7|6|8|6,7|6|6|7|6|8|6|6|7|7|6|8|6|6|7|8|6|8|8|6|6|6|7|8|6|8|6|8|6|7|7|6|6|7|7|6|6|6|8|8|6|7|8|6|7|8|6|6|7|6|8|7|6|7|6|8|8|6|6|6
2,3|8|6|6|8|5|7|7|7|8|4|7|6|6|8|1|7|6|8|8|2|7|6|8|6|8|6|6|7|6,7|8|6|8|6|6|7|8|6|8|8|6|6|6|7|8|6|6|7|6|8|6|6|7|7|8|6|7|8|6|7|8|6|6|7|6|8|7|6|7|6|7|6|8|6|6|7|7|6|7|8|6|8|6|8|6|6|6|6|6
3,8|3|7|6|6|4|6|8|7|8|6|8|7|1|6|7|8|2|7|6|8|7|6|8|6|5|6|7|6|8,6|6|8|8|6|6|7|8|6|7|8|6|6|7|6|8|7|6|7|6|8|6|7|6|8|6|6|7|7|6|8|6|6|7|6|8|6|6|7|7|6|6|8|7|7|6|8|6|6|7|8|6|8|8|6|6|6|7|8|6
4,7|7|5|6|8|7|1|6|8|6|2|6|8|3|6|8|7|6|8|6|4|7|7|8|6|8|6|8|6|7,7|6|7|8|6|8|6|8|6|6|6|7|7|6|8|6|6|7|8|6|8|8|6|6|6|7|8|6|6|7|6|7|6|6|7|6|8|6|6|7|7|6|6|7|6|8|6|6|7|7|8|7|6|8|8|6|6|8|6|8
5,7|3|7|6|6|7|8|5|6|8|6|6|7|8|6|8|6|4|8|8|8|6|7|7|2|6|8|1|6|7,7|8|6|6|7|6|6|7|8|6|8|6|8|6|6|6|8|7|6|8|6|7|6|6|7|8|6|7|8|6|6|7|6|8|7|6|7|6|8|6|8|6|6|7|8|6|6|6|7|8|6|7|8|6|6|7|6|8|7|6
6,7|7|3|6|8|6|2|7|8|6|7|1|6|8|6|8|6|6|7|8|7|5|7|8|6|4|6|8|6|8,6|6|7|8|6|7|8|6|6|7|6|8|7|6|7|8|8|6|7|8|6|7|8|6|6|6|7|6|7|7|6|8|6|6|7|8|6|8|8|6|6|6|7|8|6|6|6|6|7|6|6|7|6|6|7|8|6|8|6|8
7,7|7|5|7|8|6|8|8|6|4|6|6|6|3|7|8|6|1|6|8|8|6|7|6|2|7|8|8|6|7,6|8|8|6|7|8|6|7|8|6|6|6|7|8|6|8|6|8|6|6|7|6|8|6|6|7|7|6|6|7|8|6|6|7|8|8|6|6|6|7|8|6|6|6|6|7|6|8|6|6|7|7|6|7|8|7|8|6|6|7
8,8|8|1|4|6|6|3|6|7|8|6|2|8|6|7|5|6|6|8|7|8|7|8|6|6|6|7|7|7|8,8|6|7|8|6|7|8|6|6|6|8|6|7|7|6|6|6|7|8|6|7|8|6|6|7|6|8|7|6|7|6|6|8|6|8|6|7|7|6|8|6|6|7|8|6|8|8|6|6|6|7|8|6|6|7|7|6|8|6|6
9,7|3|7|8|8|6|8|7|6|5|6|8|6|8|7|7|7|6|4|6|8|6|2|6|8|6|8|7|1|6,6|6|6|6|7|8|6|8|6|8|6|6|6|7|7|6|8|8|6|7|8|6|7|8|6|6|6|6|8|6|7|7|6|8|6|7|7|8|6|7|6|8|6|6|7|7|6|6|7|8|8|6|7|8|6|7|8|6|6|6
10,7|8|4|5|7|8|7|6|8|6|7|8|6|8|6|7|1|6|8|6|8|6|7|6|3|6|8|6|2|7,6|6|7|8|6|7|8|6|6|7|6|8|7|6|7|6|7|8|6|6|6|7|8|7|7|6|8|6|6|7|8|6|8|8|6|6|6|7|8|6|6|6|7|8|6|7|6|6|7|8|6|8|6|8|6|6|6|7|8|6
